location_x,location_y,remaining_min,power_of_shot,game_season,lat/lng,home/away,remaining_sec,shot_id_number,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,type_of_shot,type_of_combined_shot
167,72,10,1,2000-01,"45.539131, -122.651648",MANU @ POR,27,1,38,,Right Side(R),Mid Range,16-24 ft.,shot - 30,
-157,0,10,1,2000-01,"45.539131, -122.651648",MANU @ POR,22,2,35,0,Left Side(L),Mid Range,8-16 ft.,shot - 45,
-101,135,7,1,2000-01,"45.539131, -122.651648",,45,3,36,1,Left Side Center(LC),Mid Range,16-24 ft.,shot - 25,
138,175,6,1,2000-01,"45.539131, -122.651648",MANU @ POR,52,4,42,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
0,0,,2,2000-01,"45.539131, -122.651648",MANU @ POR,19,5,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
-145,-11,9,3,,"45.539131, -122.651648",MANU @ POR,32,6,34,0,Left Side(L),Mid Range,8-16 ft.,shot - 17,
0,0,8,,2000-01,"45.539131, -122.651648",MANU @ POR,52,7,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
1,28,8,3,2000-01,"45.539131, -122.651648",MANU @ POR,5,8,22,,Center(C),Goal Area,Less Than 8 ft.,,shot - 3
-65,,6,3,2000-01,"45.539131, -122.651648",MANU @ POR,12,9,32,1,Left Side(L),Goal Line,8-16 ft.,shot - 36,
-33,,3,3,2000-01,"45.539131, -122.651648",MANU @ POR,36,10,32,0,Center(C),Goal Line,8-16 ft.,shot - 44,
-94,238,1,3,2000-01,"45.539131, -122.651648",,56,,45,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 7,
121,127,11,1,2000-01,"42.982923, -71.446094",MANU vs. UTA,0,12,37,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
-67,,7,1,,"42.982923, -71.446094",MANU vs. UTA,,13,,1,Left Side(L),Goal Line,8-16 ft.,shot - 44,
-94,4,,1,2000-01,"42.982923, -71.446094",MANU vs. UTA,44,14,29,0,Left Side(L),Mid Range,8-16 ft.,,shot - 3
-23,47,1,1,2000-01,"42.982923, -71.446094",MANU vs. UTA,16,15,25,0,Center(C),Goal Line,Less Than 8 ft.,shot - 12,
,192,0,1,2000-01,"42.982923, -71.446094",MANU vs. UTA,,16,40,0,Center(C),Mid Range,16-24 ft.,,shot - 3
0,0,0,1,2000-01,"42.982923, -71.446094",MANU vs. UTA,1,,20,,,Goal Area,Less Than 8 ft.,,shot - 4
-117,226,8,2,2000-01,"42.982923, -71.446094",MANU vs. UTA,50,18,45,1,Left Side Center(LC),,,shot - 6,
,97,11,3,2000-01,"42.982923, -71.446094",MANU vs. UTA,29,19,36,0,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
0,0,10,3,,"42.982923, -71.446094",MANU vs. UTA,46,20,20,,Center(C),,Less Than 8 ft.,shot - 4,
3,144,10,3,2000-01,"42.982923, -71.446094",MANU vs. UTA,8,21,34,0,Center(C),Mid Range,8-16 ft.,shot - 20,
134,127,9,3,,"42.982923, -71.446094",MANU vs. UTA,4,22,38,,Right Side Center(RC),Mid Range,16-24 ft.,shot - 24,
-16,110,7,3,2000-01,"42.982923, -71.446094",MANU vs. UTA,57,23,31,1,Center(C),Goal Line,8-16 ft.,shot - 44,
-109,150,5,3,,"42.982923, -71.446094",MANU vs. UTA,47,24,38,1,Left Side Center(LC),Mid Range,16-24 ft.,,shot - 3
-46,63,5,3,2000-01,"42.982923, -71.446094",MANU vs. UTA,11,25,27,1,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
0,0,2,3,2000-01,"42.982923, -71.446094",MANU vs. UTA,36,26,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
,196,2,3,2000-01,"42.982923, -71.446094",MANU vs. UTA,4,27,40,0,Center(C),Mid Range,16-24 ft.,shot - 30,
-183,186,0,3,2000-01,"42.982923, -71.446094",MANU vs. UTA,30,28,46,0,Left Side Center(LC),Penalty Spot,24+ ft.,shot - 54,
85,173,8,4,2000-01,"42.982923, -71.446094",MANU vs. UTA,,29,39,0,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
3,87,6,4,2000-01,"42.982923, -71.446094",MANU vs. UTA,22,30,28,0,Center(C),Goal Line,8-16 ft.,shot - 42,
121,4,1,4,2000-01,"42.982923, -71.446094",MANU vs. UTA,20,31,,1,Right Side(R),Mid Range,8-16 ft.,shot - 44,
127,34,0,4,,"42.982923, -71.446094",MANU vs. UTA,30,32,33,0,Right Side(R),,8-16 ft.,,shot - 3
163,76,11,1,2000-01,"49.250068, -123.114646",MANU @ VAN,26,33,37,,Right Side(R),Mid Range,16-24 ft.,shot - 34,
70,194,10,1,2000-01,"49.250068, -123.114646",MANU @ VAN,58,,40,,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
1,19,7,1,2000-01,"49.250068, -123.114646",MANU @ VAN,33,35,21,,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-12,,5,1,2000-01,"49.250068, -123.114646",MANU @ VAN,58,36,21,,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
1,4,4,1,2000-01,"49.250068, -123.114646",MANU @ VAN,9,37,20,,Center(C),Goal Area,,,shot - 4
-117,116,5,2,,"49.250068, -123.114646",MANU @ VAN,33,38,36,,Left Side Center(LC),Mid Range,,shot - 1,
91,184,3,2,2000-01,"49.250068, -123.114646",MANU @ VAN,30,39,40,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
-27,272,0,2,2000-01,"49.250068, -123.114646",MANU @ VAN,4,40,47,1,Center(C),Penalty Spot,24+ ft.,,shot - 3
-176,66,11,3,2000-01,"49.250068, -123.114646",MANU @ VAN,12,41,38,0,Left Side(L),Mid Range,16-24 ft.,,shot - 3
7,4,10,3,2000-01,,MANU @ VAN,13,42,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
150,133,8,3,2000-01,"49.250068, -123.114646",MANU @ VAN,59,43,40,1,Right Side Center(RC),Mid Range,16-24 ft.,,shot - 3
49,15,8,3,,"49.250068, -123.114646",MANU @ VAN,29,44,25,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 3
-12,19,4,3,2000-01,"49.250068, -123.114646",MANU @ VAN,,45,22,,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-4,4,3,3,2000-01,"49.250068, -123.114646",MANU @ VAN,21,46,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-4,,2,3,,"49.250068, -123.114646",MANU @ VAN,55,47,,0,Center(C),Goal Area,,,shot - 1
1,9,2,3,2000-01,"49.250068, -123.114646",MANU @ VAN,,48,20,1,Center(C),Goal Area,Less Than 8 ft.,shot - 12,
121,120,4,4,2000-01,"49.250068, -123.114646",,55,49,37,1,Right Side Center(RC),,16-24 ft.,,shot - 3
-176,30,3,4,2000-01,"49.250068, -123.114646",MANU @ VAN,19,50,37,,Left Side(L),Mid Range,,,shot - 3
1,9,1,4,2000-01,"49.250068, -123.114646",,8,51,20,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
-12,9,1,4,2000-01,"49.250068, -123.114646",MANU @ VAN,6,52,21,0,Center(C),Goal Area,Less Than 8 ft.,shot - 39,
24,70,10,1,2000-01,"42.982923, -71.446094",MANU vs. LAC,33,53,27,0,Center(C),Goal Line,Less Than 8 ft.,shot - 25,
-189,-4,10,1,,"42.982923, -71.446094",MANU vs. LAC,4,54,38,0,Left Side(L),Mid Range,16-24 ft.,,shot - 3
-141,247,4,1,2000-01,"42.982923, -71.446094",,58,55,48,,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
-155,194,2,1,2000-01,"42.982923, -71.446094",MANU vs. LAC,33,56,44,0,Left Side Center(LC),Penalty Spot,24+ ft.,,shot - 3
1,228,,2,2000-01,"42.982923, -71.446094",MANU vs. LAC,26,57,42,1,Center(C),Mid Range,16-24 ft.,shot - 37,
0,0,8,2,,,MANU vs. LAC,40,58,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
0,0,4,2,2000-01,"42.982923, -71.446094",MANU vs. LAC,5,59,20,1,Center(C),Goal Area,Less Than 8 ft.,,shot - 1
146,,3,2,,"42.982923, -71.446094",MANU vs. LAC,10,60,48,,Right Side Center(RC),Penalty Spot,24+ ft.,shot - 14,
-33,108,2,2,2000-01,"42.982923, -71.446094",MANU vs. LAC,2,61,31,0,Center(C),Goal Line,8-16 ft.,shot - 36,
22,49,0,2,2000-01,"42.982923, -71.446094",MANU vs. LAC,47,62,25,,Center(C),Goal Line,Less Than 8 ft.,shot - 39,
0,,,3,2000-01,"42.982923, -71.446094",MANU vs. LAC,32,63,20,0,Center(C),Goal Area,Less Than 8 ft.,,shot - 4
,21,0,3,2000-01,"42.982923, -71.446094",MANU vs. LAC,37,64,25,0,Center(C),Goal Line,Less Than 8 ft.,,shot - 4
